id,lon,lat,name,address,pname,cityname,business_area,type
B0G3FRN2JK,120.136235,30.185857,匠心网球俱乐部,六和路368号(六和公园内),浙江省,杭州市,浦沿,体育休闲服务;运动场馆;网球场
B0G3L9HXNE,120.271276,30.309388,乐动力·阿里体育中心网球馆,九堡阿里体育中心五楼网球馆,浙江省,杭州市,九堡街道,体育休闲服务;运动场馆;网球场
B0GDCC7H88,120.315109,30.386295,水美公园网球场,水美公园内(北侧),浙江省,杭州市,[],体育休闲服务;运动场馆;网球场
B0GRLBJTWG,120.215947,30.185037,快网网球俱乐部(锦绣国际),聚业路26号金绣国际科技中心2楼网球场(A座2楼),浙江省,杭州市,长河,体育休闲服务;运动场馆;网球场
B0GUG517AA,119.046783,29.633212,淳安县千岛湖网球俱乐部,千岛湖镇阳光路627号芳菲隐珠体育公园,浙江省,杭州市,主城区沿湖及排岭半岛区块-千岛湖国家级旅游度假区,体育休闲服务;运动场馆;网球场
B0H067IASV,119.047304,29.633155,千岛湖网球公园,芳菲隐珠体育公园(原有露天网球场以东),浙江省,杭州市,主城区沿湖及排岭半岛区块-千岛湖国家级旅游度假区,风景名胜;公园广场;公园
B0H2H1MIMI,120.163904,30.310757,杭州城北体育公园网球中心,白石路125号,浙江省,杭州市,上塘,体育休闲服务;运动场馆;网球场
B0H2OMAE1Z,120.210207,30.182855,鼎尖网球俱乐部(万福店),万福中心c座3楼楼顶,浙江省,杭州市,长河,体育休闲服务;运动场馆;网球场
B0H2RR4NCS,119.973583,30.275229,弥诺网球俱乐部(未来科技城店),华一路3-1号幢203室,浙江省,杭州市,[],体育休闲服务;运动场馆;网球场
B0H3OD0C58,120.100083,30.293620,硬核网球INHEART(印象城店),古墩路588号印象城(古墩路店)L5层L503,浙江省,杭州市,文新,体育休闲服务;运动场馆;网球场
B0HDBAGRPY,120.156386,30.223959,杭州市网球协会训练基地,玉皇山路67号,浙江省,杭州市,西湖旅游区中心片区,体育休闲服务;运动场馆;网球场
B0HG6HDYYJ,120.266798,30.151736,萧山区文化旅游体育发展服务中心网球馆,市心南路398号(潘水地铁站A2口步行460米),浙江省,杭州市,城厢,体育休闲服务;运动场馆;网球场
B0HK09F3Q4,120.163617,30.312274,城北体育公园-3号网球场,白石路125号城北体育公园,浙江省,杭州市,东新,体育休闲服务;运动场馆;网球场
B0HK9ZX7QR,120.208438,30.188151,活跃网球(滨江IX-WORK店),滨安路650号IX-WORK大厦B座F9层,浙江省,杭州市,长河,体育休闲服务;运动场馆;网球场
B0HR3ABFCR,119.378691,29.495879,建德花海网球场,下涯之江村,浙江省,杭州市,[],体育休闲服务;运动场馆;网球场
B0HR9N3MUF,120.049210,30.247543,快网网球俱乐部(杭州西溪印象城A座店),余杭区五常大道1号印象城楼顶网球场(A座)迪卡侬电梯直接上4楼楼顶,浙江省,杭州市,西溪,体育休闲服务;运动场馆;网球场
B0HU35YN9K,120.139617,30.266496,弥诺网球俱乐部,曙光路122号世贸君澜大酒店D座4楼,浙江省,杭州市,黄龙,体育休闲服务;运动场馆;网球场
B0HU6H1U13,119.379048,29.496057,新安绿道网球场,新安绿道九景连珠段,浙江省,杭州市,[],体育休闲服务;运动场馆;网球场
B0HU7ZY592,120.321040,30.318176,钱塘文体中心,海达南路,浙江省,杭州市,下沙,商务住宅;商务住宅相关;商务住宅相关
B0HU9Z6BQT,120.063672,30.458743,智荟动力公园网球场,洛阳路88号,浙江省,杭州市,[],体育休闲服务;运动场馆;网球场
B0HUD7KQQQ,120.147266,30.333071,致胜网球学练馆(城北馆),上塘路与石祥路交叉口东北角(红房子四楼),浙江省,杭州市,上塘,体育休闲服务;运动场馆;网球场
B0HUFRWAIC,120.067665,30.165887,朗郡庭园网球场,博岚路与象山路交叉口西120米,浙江省,杭州市,[],体育休闲服务;运动场馆;网球场
B0I11P5U5F,120.304731,30.411578,杭州阿蓝网球俱乐部(余杭大厦店),人民大道588号(临平地铁站B6口步行460米),浙江省,杭州市,南苑,体育休闲服务;体育休闲服务场所;体育休闲服务场所
B0I12S8DSE,120.095814,30.286812,李宁羽毛球网球匹克球旗舰店,文一西路342号,浙江省,杭州市,文新,购物服务;体育用品店;体育用品店
B0I197UUBH,120.006807,30.148621,金都网球湖畔森林路亚俱乐部,富阳金都网球俱乐部中心会馆东侧200米,浙江省,杭州市,[],体育休闲服务;运动场馆;网球场
B0I1FXY2ZE,120.033420,30.236700,享趣网球(宏丰生活广场店),宏丰生活广场雨润发超市南门旁,浙江省,杭州市,闲林,体育休闲服务;运动场馆;网球场
B0I1JAC2ZB,120.120352,30.308532,采虹网球,蓝钻天成七乐汇5楼(和睦地铁站出入口步行80米),浙江省,杭州市,和睦,体育休闲服务;运动场馆;网球场
B0I21RS3CQ,120.121082,30.323733,艾斯网球俱乐部,崇安中心艾斯网球俱乐部,浙江省,杭州市,祥符街,体育休闲服务;运动场馆;网球场
B0I2H74K0P,120.221082,30.207837,致胜网球(滨江聚光中心店),阡陌路459号聚光中心C1座9楼,浙江省,杭州市,西兴,体育休闲服务;运动场馆;网球场
B0I2HR6AB8,120.105981,30.304804,KL网球俱乐部,海蓝天行国际中心7号楼711室,浙江省,杭州市,和睦,体育休闲服务;运动场馆;网球场
B0I31A1SOR,120.072983,30.319603,致胜网球(城西海悦中心馆),三墩街道紫萱海悦中心4号楼2楼,浙江省,杭州市,三墩,体育休闲服务;运动场馆;网球场
B0I3USMUKQ,120.074010,30.255327,西溪国际网球中心,瑞和巷33号,浙江省,杭州市,西溪,体育休闲服务;运动场馆;网球场
B0IA1UV5RN,119.984062,30.278244,星辰网球培训中心,蓝谷科创园1幢3楼,浙江省,杭州市,[],体育休闲服务;运动场馆;网球场
B0IABCLC35,119.982484,30.279670,弥诺网球俱乐部(天创店),余杭塘路2626号中迹新材料产业园4楼,浙江省,杭州市,[],体育休闲服务;运动场馆;网球场
B0IAMCNUNZ,120.170339,30.132636,健乐网球,闻堰街道三江汇创谷F区15幢,浙江省,杭州市,闻堰,体育休闲服务;运动场馆;网球场
B0IAPSNJHD,120.384204,30.285141,网球场,之江东路与14号大街交叉口西南240米,浙江省,杭州市,[],体育休闲服务;运动场馆;网球场
B0ID7ASO2G,120.005419,30.148155,金都网球湖畔森林营地,银湖街道金都富春山居泽闲居82室,浙江省,杭州市,[],生活服务;婴儿服务场所;婴儿服务场所
